Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,977.500,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,9073,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,977.670,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,9075,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,984.784,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,9141,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,985.067,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,9143,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,993.731,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,9224,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,998.713,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,9270,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,1040.000,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,9653,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,1040.266,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,9656,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,1080.303,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,10027,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,1080.453,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,10029,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,1082.935,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,10052,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,1083.019,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,10053,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,1198.997,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,11129,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,1202.130,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,11158,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,1371.241,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,12728,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,1373.823,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,12752,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,1438.518,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,13352,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,1441.651,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,13381,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,1814.078,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,16838,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,1816.178,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,16858,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,1823.508,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,16926,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,1834.022,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,17023,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,2084.042,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,19344,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,2230.042,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,20699,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,2232.041,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,20718,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,START,2248.919,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,20875,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Navigation_Area,,STOP,2268.146,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,21053,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,2288.822,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,21245,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,START,2359.082,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,21897,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,2367.080,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,21971,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,STOP,2380.625,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22097,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,2380.625,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22097,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,2383.441,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22123,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,START,2383.575,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22124,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,STOP,2387.273,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22159,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,2387.340,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22159,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,2390.300,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22187,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,START,2390.539,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22189,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,STOP,2427.800,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22536,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,2427.993,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,22537,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,2671.130,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,24793,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,START,2671.363,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,24796,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Events_Panel,,STOP,2692.000,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,24987,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,START,2692.073,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,24988,NA,
P1,2024-11-01 17:24:38.883,,2317.170999999999978172127157,Media file(s),player #1:C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,0.0,2740.549,60.000,,Mouse_on_Linechart_Area,,STOP,2738.424,C:/Users/eleon/Videos/Captures/frontend - Google Chrome 2024-10-28 10-02-39.mp4,25418,NA,
